isin,list,last_date,cur,price_change,price_bid,price_ask,price_avg,price_open,price_close,price_high,price_low,yield_change,yield_bid,yield_ask,yield_avg,yield_open,yield_close,yield_high,yield_low,vol,snapshot_date,market
AMGLBSB21ER0,ABOND,2026-07-30,AMD,0.1671,102.85,103.7362,102.84,102.84,102.84,102.84,102.84,-0.0816,10.5936,10.1716,10.5984,10.5984,10.5984,10.5984,10.5984,6,2026-07-31,corporate_bonds
AMGLBSB22ER8,ABOND,2026-07-30,USD,-,101.0056,101.5859,-,-,-,-,-,-,7.7699,7.5000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMGRUCB21ER1,BBOND,2026-07-30,AMD,-,105.0125,106.0771,-,-,-,-,-,-,10.3000,9.8500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMGRUCB22ER9,BBOND,2026-07-30,USD,-,99.9968,100.7213,-,-,-,-,-,-,6.5000,6.2000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHELCB21ER6,ABOND,2026-07-30,AMD,-,100.2966,100.4109,100.4109,100.4109,100.4109,100.4109,100.4109,-,10.4721,10.1499,10.1499,10.1499,10.1499,10.1499,10.1499,219,2026-07-31,corporate_bonds
AMHELCB22ER4,ABOND,2026-07-30,USD,-,98.3381,99.0132,-,-,-,-,-,-,8.1822,7.8000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHELCB23ER2,ABOND,2026-07-30,USD,-,96.4848,97.5132,97.5132,97.5132,97.5132,97.5132,97.5132,-,8.6018,8.2000,8.2000,8.2000,8.2000,8.2000,8.2000,100,2026-07-31,corporate_bonds
AMHELCB24ER0,ABOND,2026-07-30,USD,-,95.7096,97.1245,97.1245,97.1245,97.1245,97.1245,97.1245,-,8.6542,8.2500,8.2500,8.2500,8.2500,8.2500,8.2500,35,2026-07-31,corporate_bonds
AMHELCB25ER7,ABOND,2026-07-30,AMD,-,100.5,101.1959,101.1455,101,101.1959,101.1959,101,-,10.6021,10.4000,10.4146,10.4567,10.4000,10.4567,10.4000,35,2026-07-31,corporate_bonds
AMHEZBB2GER6,BBOND,2026-07-30,AMD,-,100.3138,100.7294,-,-,-,-,-,-,9.9000,9.4466,-,-,-,-,-,0,2026-07-31,corporate_bonds
